Frequency,Bin
2.575755715533201786e-07,3.276800000000000000e+04
0.000000000000000000e+00,1.230385483870967728e+05
5.837950329256002338e-07,2.133090967741935456e+05
0.000000000000000000e+00,3.035796451612903038e+05
0.000000000000000000e+00,3.938501935483870911e+05
1.317885411852563259e-06,4.841207419354838785e+05
0.000000000000000000e+00,5.743912903225806076e+05
0.000000000000000000e+00,6.646618387096774532e+05
2.127059069887319105e-06,7.549323870967741823e+05
0.000000000000000000e+00,8.452029354838709114e+05
0.000000000000000000e+00,9.354734838709677570e+05
2.509687581429776506e-06,1.025744032258064486e+06
0.000000000000000000e+00,1.116014580645161215e+06
0.000000000000000000e+00,1.206285129032257944e+06
0.000000000000000000e+00,1.296555677419354906e+06
0.000000000000000000e+00,1.386826225806451635e+06
0.000000000000000000e+00,1.477096774193548365e+06
0.000000000000000000e+00,1.567367322580645094e+06
0.000000000000000000e+00,1.657637870967741823e+06
0.000000000000000000e+00,1.747908419354838785e+06
0.000000000000000000e+00,1.838178967741935514e+06
0.000000000000000000e+00,1.928449516129032243e+06
0.000000000000000000e+00,2.018720064516128972e+06
0.000000000000000000e+00,2.108990612903225701e+06
0.000000000000000000e+00,2.199261161290322430e+06
0.000000000000000000e+00,2.289531709677419160e+06
0.000000000000000000e+00,2.379802258064515889e+06
0.000000000000000000e+00,2.470072806451613083e+06
0.000000000000000000e+00,2.560343354838709813e+06
0.000000000000000000e+00,2.650613903225806542e+06
4.281807513716619376e-06,2.740884451612903271e+06
